original,yasashii
契約社員,いつから、いつまで働くか、会社と契約している人。
外科,けがを治したり、手術をしたりします。
（賃貸契約の）更新料,賃貸契約が終わっても、同じ家に住むときに、家をかりていることを新しく約束するためのお金。（→賃貸契約）
個人事業主,自分で仕事をしている人。
戸籍抄本（戸籍個人事項証明書）,日本人の出生・婚姻・死亡などの記録が載っているもの。
戸籍謄本（戸籍全部事項証明書）,人がどこでいつ生まれたか、結婚したか、死んだかなどの記録。
ごみカレンダー,どの種類のごみをいつに捨てるかが書いている紙。
ごみ集積所,決まった日に、ごみを捨てるための場所。
婚姻届(1),日本で結婚する人が、住んでいるまちの役所に出す紙。
婚姻要件具備証明書,外国人が婚姻届を出すときに必要な紙。住んでいるまちの役所に出します。（→婚姻届）
最低賃金(1),法律で決まっているいちばん安い給料。（都道府県ごとに決められています。）
在留カード(1),３か月より長く日本に住む外国人が持つ身分証明書のカード。名前や国籍、住所などが書いてあります。
在留期間更新許可(1),在留期限を長くしたいときにもらうもの。在留資格は変わりません。（手続きが必要です。）（→在留期限、在留資格）
在留期限,外国人が日本にいることができる最後の日。
在留資格(1),外国人が日本で住むことができるためのきまり。
在留資格取得許可(1),日本で生まれた外国人の赤ちゃんなどが在留カードをもらうこと。（手続きが必要です。）（→在留カード）
在留資格変更許可,在留資格を変えるときにもらうもの。（手続きが必要です。）（→在留資格）
残業(2),１日に決められた時間より長く働くこと。
産婦人科,女性だけの病気を治したり、赤ちゃんを産んだりするところ。
市営住宅,市が貸すマンションや、アパート。給料の少ない家族が、借りることができます。
歯科,歯を治すところ。
資格外活動許可(1),仕事ができない在留資格の人が、仕事をしたいときにもらうもの。（手続きが必要です。）（→在留資格）
敷金（保証金）,家を借りるときに払うお金。家を借りた人が出ていったあと大家が、家の壊れたところや汚くなったところを直すためなどに使います。（→大家）
実印,住んでいるまちの役所に認めてもらったはんこ。車や家を買う時などに使います。
指定ごみ袋,ごみを入れて捨てるための専用の袋。
死亡届,家族や一緒に生活していた人が死んだときに、まちの役所に出す紙。（手続きが必要です。）
車検,決められた期間に１度、車やオートバイが安全に走ることができるかを調べること。
車検証(1),車検が終わった後にもらう紙。（→車検）
就業規則(1),会社が決めた、働く時のルール。（働く時間、給料、休日などについて書かれています。）
住民票,市や町に住んでいる人の情報が書いている紙。（手続きが必要です。）
出生届(2),人が生まれたときに役所に出す紙。
消費生活センター,ものを買う時や、サービスを受ける時に契約をして、売った人や会社と、トラブルになった時に相談するところ。
身体障害者手帳(2),体に障害がある人が住んでいるまちの役所からもらう手帳。（手続きが必要です。）
生活困窮者自立支援制度,生活に困っている人の困りごとを住んでいるまちの役所が一緒に考えて困りごとを解決する制度。
生活保護,生活のお金がなく困っている人が、生活に必要なお金をもらうことができる制度。
整形外科(1),骨、関節、筋肉などを治すところ。
精神障害者保健福祉手帳,心に障害があって、毎日の生活が難しい人が、住んでいるまちの役所からもらう手帳。（手続きが必要です。）
粗大ごみ(3),家具などの大きなごみ。家まで取りに来てもらうためには、市に予約をします。
退職届(1),会社をやめるときに、理由などを書いて、会社に出す紙。
短時間労働者,1週間の働く時間が正社員に比べて短い人です。
断水(5),水道の水が止まります。
町内会,近くに住んでいる人たちが作る会。
仲介手数料(1),家を借りるとき、あなたに家を紹介した不動産屋の手続きに払うお金です。
賃貸契約(1),お金を出して物や家を貸したり、借りたりする約束です。
転居届,同じ市の中で、住む所を変える時に、今、住んでいる役所に知らせる書類（紙）。引っ越しする日から2週間以内までに出します。
転出届(1),別の市に住む所を変える時に、今、住んでいる役所に出す書類（紙）です。引っ越しする2週間前から引っ越しする日までに出します。
転入届(1),別の市から、今の市に住む所を変える時に、新しい役所に出す書類（紙）です。引っ越しする日から2週間以内に出します。
内科(1),外科以外の治療をするところ。（→外科）
年次有給休暇(1),仕事を休んでも給料をもらうことができる休み。会社により１年でもらえる日数が決まっています。
廃棄物,いらなくなったもの。ごみ。
派遣社員(1),派遣会社から契約先の別の会社で働く人です。
ハローワーク(1),希望する仕事を紹介したり、アドバイスをしてくれたりする国の役所です。
不動産屋(2),土地や家、建物を借りたい人や買いたい人に紹介する店です。
（ごみの）分別,ごみを決められた種類に分けて捨てること。
